2021/11/09 20:42:15 {"callers":["E:/go/src/TicketSales/main.go: 20 main.init.0"],"level":"info","message":"eddycjy: go-programming-tour-book/blog-service","time":1636461735344213500}
2021/11/15 21:24:43 {"callers":["E:/go/src/TicketSales/main.go: 20 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1636982683758390100}
2021/11/15 21:25:22 {"callers":["E:/go/src/TicketSales/main.go: 20 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1636982722778287600}
2021/12/11 15:06:16 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"app.BindAndValid errs: Username为必填字段,Password为必填字段","time":1639206376475314000}
2021/12/11 15:22:35 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"app.BindAndValid errs: Identity为必填字段,Certificate为必填字段","time":1639207355123595300}
2021/12/11 15:23:40 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CheckAuth err: sql: expected 2 arguments, got 3","time":1639207420652678600}
2021/12/11 15:24:52 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CheckAuth err: auth info does not exist.","time":1639207492751641600}
2021/12/11 15:26:35 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CheckAuth err: auth info does not exist.","time":1639207595245001700}
2021/12/11 15:27:13 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"app.BindAndValid errs: IdentityType为必填字段","time":1639207633645709200}
2021/12/11 15:27:26 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CheckAuth err: auth info does not exist.","time":1639207646985952800}
2021/12/11 15:29:26 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CheckAuth err: sql: Scan error on column index 1, name \"uid\": Scan: invalid UUID length: 1","time":1639207766268198200}
2021/12/11 16:44:10 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CreateAuth err: Error 1054: Unknown column 'created_at' in 'field list'","time":1639212250966178600}
2021/12/13 17:12:04 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CreateAuth err: Error 1054: Unknown column 'deleted_at' in 'field list'","time":1639386724431920500}
2021/12/13 17:16:49 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CheckAuth err: Error 1054: Unknown column 'user_auth.deleted_at' in 'where clause'","time":1639387009977719200}
2021/12/13 17:22:41 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CheckAuth err: auth info does not exist.","time":1639387361176414400}
2021/12/13 17:24:15 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CreateAuth err: Error 1054: Unknown column 'updated' in 'field list'","time":1639387455424067700}
2021/12/13 17:30:21 {"callers":["E:/go/src/TicketSales/main.go: 21 main.init.0"],"level":"error","message":"svc.CreateAuth err: Error 1054: Unknown column 'delete_time' in 'field list'","time":1639387821459600300}
